kind	time	pc	value
FETCH	0	368	4
FETCH	0	369	4
FETCH	0	36a	4
FETCH	0	36b	4
FETCH	0	36c	4
FETCH	0	36d	4
FETCH	0	36e	4
FETCH	0	36f	4
FETCH	0	370	4
FETCH	0	371	4
FETCH	0	372	4
FETCH	0	373	4
FETCH	0	374	4
FETCH	0	375	4
FETCH	0	376	4
FETCH	0	377	6
FETCH	0	378	6
FETCH	0	379	6
FETCH	0	37a	6
FETCH	0	37b	6
FETCH	0	37c	6
FETCH	0	37d	6
FETCH	0	37e	6
FETCH	0	37f	6
FETCH	0	380	6
FETCH	0	381	4
FETCH	0	382	4
FETCH	0	383	4
FETCH	0	384	4
FETCH	0	385	6
FETCH	0	386	6
FETCH	0	387	6
FETCH	0	388	6
FETCH	0	389	6
FETCH	0	38a	6
FETCH	0	38b	6
FETCH	0	38c	6
FETCH	0	38d	6
FETCH	0	38e	6
FETCH	0	38f	6
FETCH	0	390	6
FETCH	0	391	6
FETCH	0	392	6
FETCH	0	393	6
FETCH	0	394	16
FETCH	0	395	16
FETCH	0	396	16
FETCH	0	397	16
FETCH	0	398	6
FETCH	0	399	6
FETCH	0	39a	6
FETCH	0	39b	6
FETCH	0	39c	4
FETCH	0	39d	4
FETCH	0	39e	4
FETCH	0	39f	4
FETCH	0	3a0	4
FETCH	0	3a1	4
FETCH	0	3a2	4
FETCH	0	3a3	4
FETCH	0	3a4	4
FETCH	0	3a5	4
FETCH	0	3a6	4
FETCH	0	3a7	4
FETCH	0	3a8	4
FETCH	0	3a9	4
FETCH	0	3aa	4
FETCH	0	3ab	6
FETCH	0	3ac	6
FETCH	0	3ad	6
FETCH	0	3ae	6
FETCH	0	3af	6
FETCH	0	3b0	4
FETCH	0	3b1	4
FETCH	0	3b2	4
FETCH	0	3b3	4
FETCH	0	3b4	4
FETCH	0	3b5	4
FETCH	0	3b6	4
FETCH	0	3b7	4
FETCH	0	3b8	4
FETCH	0	3b9	4
FETCH	0	3ba	6
FETCH	0	3bb	6
FETCH	0	3bc	6
FETCH	0	3bd	6
FETCH	0	3be	4
FETCH	0	3bf	4
FETCH	0	3c0	6
FETCH	0	3c1	6
FETCH	0	3c2	6
FETCH	0	3c3	6
FETCH	0	3c4	6
FETCH	0	3c5	6
FETCH	0	3c6	6
FETCH	0	3c7	6
FETCH	0	3c8	6
FETCH	0	3c9	6
FETCH	0	3ca	5
FETCH	0	3cb	5
FETCH	0	3cc	5
FETCH	0	3cd	4
FETCH	0	3ce	5
FETCH	0	3cf	5
FETCH	0	3d0	5
FETCH	0	3d1	5
FETCH	0	3d2	5
FETCH	0	3d3	5
FETCH	0	3d4	5
FETCH	0	3d5	6
FETCH	0	3d6	6
FETCH	0	3d7	6
FETCH	0	3d8	6
FETCH	0	3d9	6
FETCH	0	3da	6
FETCH	0	3db	6
FETCH	0	3dc	6
FETCH	0	3dd	6
FETCH	0	3de	6
FETCH	0	3df	6
FETCH	0	3e0	6
FETCH	0	3e1	4
FETCH	0	3e2	4
FETCH	0	3e3	4
FETCH	0	3e4	4
FETCH	0	3e5	4
FETCH	0	3e6	4
FETCH	0	3e7	4
FETCH	0	3e8	4
FETCH	0	3e9	4
FETCH	0	3ea	4
FETCH	0	3eb	249
FETCH	0	3ec	249
FETCH	0	3ed	249
FETCH	0	3ee	249
FETCH	0	3ef	249
FETCH	0	3f0	249
FETCH	0	3f1	249
FETCH	0	3f2	243
FETCH	0	3f3	243
FETCH	0	3f4	243
FETCH	0	3f5	249
FETCH	0	3f6	4
FETCH	0	3f7	4
FETCH	0	3f8	260
FETCH	0	3f9	260
FETCH	0	3fa	260
FETCH	0	3fb	260
FETCH	0	3fc	260
FETCH	0	3fd	260
FETCH	0	3fe	5
FETCH	0	3ff	5
FETCH	0	400	4
FETCH	0	401	4
FETCH	0	402	4
FETCH	0	403	4
FETCH	0	404	4
FETCH	0	405	4
FETCH	0	406	4
FETCH	0	407	4
FETCH	0	408	4
FETCH	0	409	4
FETCH	0	40a	4
FETCH	0	40b	4
FETCH	0	40c	4
FETCH	0	40d	4
FETCH	0	40e	4
FETCH	0	40f	4
FETCH	0	410	4
FETCH	0	411	4
FETCH	0	412	4
FETCH	0	413	4
FETCH	0	414	4
FETCH	0	415	4
FETCH	0	416	4
FETCH	0	417	4
FETCH	0	418	4
FETCH	0	419	4
FETCH	0	41a	4
FETCH	0	41b	4
FETCH	0	41c	4
FETCH	0	41d	4
FETCH	0	41e	4
FETCH	0	41f	4
FETCH	0	420	4
FETCH	0	421	4
FETCH	0	422	4
FETCH	0	423	4
FETCH	0	424	4
FETCH	0	425	4
FETCH	0	426	4
FETCH	0	427	4
FETCH	0	428	4
FETCH	0	429	4
FETCH	0	42a	4
FETCH	0	42b	4
FETCH	0	42c	4
FETCH	0	42d	4
FETCH	0	42e	4
FETCH	0	42f	4
FETCH	0	430	4
FETCH	0	431	4
FETCH	0	432	4
FETCH	0	433	4
FETCH	0	434	4
FETCH	0	435	4
FETCH	0	436	4
